Business Name,Area,Category,Google Maps URL,Address,Phone,Website,Rating,Review Count,Plus Code,Hours,Error
ALEKHYA INFRAA DEVELOPERS,Hitech City,real estate builders,https://www.google.com/maps/place/ALEKHYA+INFRAA+DEVELOPERS/data=!4m7!3m6!1s0x3bcb934ab265522d:0xb2287df13bf000cf!8m2!3d17.4487846!4d78.3824304!16s%2Fg%2F11n0k7h9xb!19sChIJLVJlskqTyzsRzwDwO_F9KLI?authuser=0&hl=en&rclk=1,"Sy. No 80 to 84, Unit 6C-A 6th Floor, Melange Towers Nera Ratnadeep Super Market Patrika Nagar, Madhapur Hyderabad - 500 081, Hyderabad, Telangana 500081",096667 88630,,4.1,60,"C9XJ+GX Hyderabad, Telangana",,
Synergy Builders,Hitech City,real estate builders,https://www.google.com/maps/place/Synergy+Builders/data=!4m7!3m6!1s0x3bcb9234e7af6f7d:0x8f19601a3ac33b1d!8m2!3d17.4563757!4d78.3742766!16s%2Fg%2F11dyxk4th5!19sChIJfW-v5zSSyzsRHTvDOhpgGY8?authuser=0&hl=en&rclk=1,"1st Floor, Plot No. 27, Jubilee Enclave Madhapur, opp. Greenmark Developers, HITEC City, Hyderabad, Telangana 500081",,,4.8,34,"F94F+HP Hyderabad, Telangana",· Opens 9:30 am Wed; Tuesday 9:30 am–7:30 pm; Wednesday 9:30 am–7:30 pm; Thursday 9:30 am–7:30 pm; Friday 9:30 am–7:30 pm; Saturday 9:30 am–7:30 pm; Monday 9:30 am–7:30 pm,
Risinia Builders,Hitech City,real estate builders,https://www.google.com/maps/place/Risinia+Builders/data=!4m7!3m6!1s0x3bcb8dbf94445239:0x2999e9073b75a544!8m2!3d17.4561346!4d78.376532!16s%2Fg%2F11hbvvlsc7!19sChIJOVJElL-NyzsRRKV1OwfpmSk?authuser=0&hl=en&rclk=1,"Ground Floor, KRB Towers, Plot Nos.1 to 4 & 4A, Jubilee Enclave, Madhapur, Hyderabad, Telangana 500081",091008 88803,,4.3,285,"F94G+FJ Hyderabad, Telangana",Tuesday 10 am–6:30 pm; Wednesday 10 am–6:30 pm; Thursday 10 am–6:30 pm; Friday 10 am–6:30 pm; Saturday 10 am–6:30 pm; Sunday 10 am–6:30 pm; Monday 10 am–6:30 pm,
Greenmark Developers Private Limited,Hitech City,real estate builders,https://www.google.com/maps/place/Greenmark+Developers+Private+Limited/data=!4m7!3m6!1s0x3bcb93d075e1bfb3:0x4d683338260af2cb!8m2!3d17.4564228!4d78.3744964!16s%2Fg%2F11dzts5s2p!19sChIJs7_hddCTyzsRy_IKJjgzaE0?authuser=0&hl=en&rclk=1,"Plot No. 26, Madhapur, Jubilee Enclave, HITEC City, Hyderabad, Telangana 500081",,,4.1,335,"F94F+HQ Hyderabad, Telangana",· Opens 9:30 am Wed; Tuesday 9:30 am–6:30 pm; Wednesday 9:30 am–6:30 pm; Thursday 9:30 am–6:30 pm; Friday 9:30 am–6:30 pm; Saturday 9:30 am–6:30 pm; Monday 9:30 am–6:30 pm,
Elegant property developers,Hitech City,real estate builders,https://www.google.com/maps/place/Elegant+property+developers/data=!4m7!3m6!1s0x3bcb9195e55cc05b:0xce5ebc730ff07e96!8m2!3d17.448279!4d78.3827455!16s%2Fg%2F11qpy_qxzg!19sChIJW8Bc5ZWRyzsRln7wD3O8Xs4?authuser=0&hl=en&rclk=1,"2nd Floor, Block 2, my home hub block 2, 7th floor, Madhapur, Hitech City Rd, HITEC City, Hyderabad, Telangana 500081",096662 23223,,3.2,5,"C9XM+83 Hyderabad, Telangana",,
Vaishnavi Estates Private Limited,Hitech City,real estate builders,https://www.google.com/maps/place/Vaishnavi+Estates+Private+Limited/data=!4m7!3m6!1s0x3bcb90db55e0460d:0x5c80be5d3c57dff0!8m2!3d17.4448504!4d78.3835865!16s%2Fg%2F1tdwy_7h!19sChIJDUbgVduQyzsR8N9XPF2-gFw?authuser=0&hl=en&rclk=1,"11C, Melange Tower, Patrika Nagar, HITEC City, Hyderabad, Telangana 500081",,,5.0,8,"C9VM+WC HITEC City, Hyderabad, Telangana",Tuesday 9 am–6:30 pm; Wednesday 9 am–6:30 pm; Thursday 9 am–6:30 pm; Friday 9 am–6:30 pm; Saturday 9 am–6:30 pm; Monday 9 am–6:30 pm,
My Home Hub,Hitech City,real estate builders,https://www.google.com/maps/place/My+Home+Hub/data=!4m7!3m6!1s0x3bcb915d94c92fbb:0x144efefc2b9ef730!8m2!3d17.4486935!4d78.3820727!16s%2Fg%2F11fnw1d20z!19sChIJuy_JlF2RyzsRMPeeK_z-ThQ?authuser=0&hl=en&rclk=1,"1st Floor, Block -3, H NO 1-123,8TH FLOOR, 3RD BLOCK, MY HOME HUB, HITECH CITY, Hitech City Rd, Patrika Nagar, Madhapur, Hyderabad, Telangana 500081",091005 59944,,4.3,"1,068","C9XJ+FR Hyderabad, Telangana",· Opens 9:30 am Wed; Tuesday 9:30 am–6:30 pm; Wednesday 9:30 am–6:30 pm; Thursday 9:30 am–6:30 pm; Friday 9:30 am–6:30 pm; Saturday 9:30 am–6:30 pm; Monday 9:30 am–6:30 pm; · Opens 9:30 am Wed; · Opens 9:30 am Wed; · Opens 7:30 am Wed,
Garden of Eden Property Developers Pvt Limited,Hitech City,real estate builders,https://www.google.com/maps/place/Garden+of+Eden+Property+Developers+Pvt+Limited/data=!4m7!3m6!1s0x3bcb915ef92780db:0x71b488863c6a0516!8m2!3d17.442429!4d78.387477!16s%2Fg%2F11bwm61jx1!19sChIJ24An-V6RyzsRFgVqPIaItHE?authuser=0&hl=en&rclk=1,"First floor Krishe Block, Krishe Sapphire Metro Station Durgamma Cheruvu, 1-89/3/B/40, South, Vittal Rao Nagar, Madhapur, Hyderabad, Telangana 500081",,,4.8,"4,117","C9RP+XX Hyderabad, Telangana",,
"Space Link Infra Private Ltd.,",Hitech City,real estate builders,"https://www.google.com/maps/place/Space+Link+Infra+Private+Ltd.,/data=!4m7!3m6!1s0x3bcb97a07ff1e959:0x9763af12c942bdff!8m2!3d17.4453764!4d78.3826207!16s%2Fg%2F11j5vvcz6h!19sChIJWenxf6CXyzsR_71CyRKvY5c?authuser=0&hl=en&rclk=1","Flat No.105, Sahiti Sri Vidhya Ambrosia, Hitec City, HUDA Techno Enclave, Madhapur, Hyderabad, Telangana 500081",073373 31900,,4.9,108,"C9WM+52 Hyderabad, Telangana",,
Mirchi Developers Corporate Office,Hitech City,real estate builders,https://www.google.com/maps/place/Mirchi+Developers+Corporate+Office/data=!4m7!3m6!1s0x3bcb93117fe504dd:0x70963bcd80b31b0e!8m2!3d17.4565274!4d78.376397!16s%2Fg%2F11s1bd64k_!19sChIJ3QTlfxGTyzsRDhuzgM07lnA?authuser=0&hl=en&rclk=1,"3rd Floor, Bizness Square, Hitech City Rd, Laxmi Cyber City, Jubilee Enclave, HITEC City, Hyderabad, Telangana 500081",073306 11128,,4.1,33,"F94G+JH Hyderabad, Telangana",· Opens 9:30 am Wed; Tuesday 9:30 am–6:30 pm; Wednesday 9:30 am–6:30 pm; Thursday 9:30 am–6:30 pm; Friday 9:30 am–6:30 pm; Saturday 9:30 am–6:30 pm; Monday 9:30 am–6:30 pm,
